,,Mid-2010 to Mid-2011,,,,,Mid-2011 to Mid-2012,,,,,Mid-2012 to Mid-2013,,,,,Mid-2013 to Mid-2014,,,,,Mid-2014 to Mid-2015,,,,,Mid-2015 to Mid-2016,,,,,Mid-2016 to Mid-2017,,,,,Mid-2017 to Mid-2018,,,,,Mid-2018 to Mid-2019,,,,,Mid-2019 to Mid-2020,,,,
W06000011,Swansea / Abertawe,238691,1785,1006,9017,9079,239460,1752,1364,9533,9560,240108,1856,710,8998,9517,240966,2215,1135,9393,9870,242316,2560,1160,9851,9844,244462,2756,896,9792,9442,245480,2454,1187,10732,10665,246466,2682,1254,10765,10932,246993,2640,1156,11053,11827,246563,2923,1154,9724,11262
E06000030,Swindon,209709,1362,1147,7027,6434,211918,1281,756,7404,7210,214028,1334,813,7286,7141,215991,1562,937,7513,7474,217584,1824,914,7333,7841,218580,1972,1104,7115,8079,220363,1698,1058,8519,8466,221996,1792,919,8406,8614,222193,1590,1472,8149,9093,222881,1507,966,7297,7747
E08000008,Tameside,219727,707,557,6592,6601,220201,578,514,6753,7286,220545,559,567,6886,7335,220696,588,472,7118,7912,221507,698,505,7017,7042,223109,909,484,7538,7146,224119,762,557,8567,8366,225197,816,543,8793,8280,226493,859,292,9293,9156,227117,787,420,7796,7603
E07000199,Tamworth,76895,189,132,2584,2816,77105,135,102,2618,2887,77096,130,115,2692,3105,77032,198,105,2698,3175,77108,270,96,2594,2967,77010,341,79,2259,2956,76527,253,112,2689,3573,76678,270,171,3241,3445,76696,242,166,3276,3490,76864,202,92,2854,2915
E07000215,Tandridge,83178,297,249,4739,4449,83642,282,279,5057,4721,84616,275,182,5335,4513,85340,314,166,5562,5132,85914,335,216,5439,5099,86527,327,180,5540,5242,87297,289,195,6090,5513,87496,365,191,5510,5603,88129,346,226,5990,5579,88542,340,178,5263,5001
E07000045,Teignbridge,124271,377,223,6066,5552,125047,284,162,6419,5486,126088,282,178,6425,5266,127432,328,189,7280,5788,128903,338,188,7280,5608,129917,333,224,6954,5643,131437,305,171,8097,6359,132844,344,146,7961,6264,134163,291,214,8076,6465,135039,288,158,6681,5442
E06000020,Telford and Wrekin,166831,816,396,5612,5961,167811,706,385,5969,6300,168642,577,493,6224,6289,169768,750,435,6347,6444,171677,948,477,6932,6100,173727,1054,411,6817,6126,175768,877,396,8359,7395,177799,1106,601,8271,7232,179854,959,592,8590,7466,181322,901,458,7585,6798
E07000076,Tendring,138062,363,261,5603,4821,138395,278,226,6048,5190,139037,249,169,6241,4895,140395,327,131,6962,5261,141790,318,113,7162,5209,143353,322,127,7044,4802,144705,301,115,7489,5454,145803,329,157,7318,5424,146561,282,141,7071,5582,147353,264,131,6559,4816
E07000093,Test Valley,116698,460,501,5922,5468,117341,430,306,6083,5993,118805,436,397,6401,5367,119835,492,309,6492,5818,121352,504,348,6835,5888,122823,518,318,6897,6018,123957,449,402,7611,6810,125169,491,454,7641,6580,126160,426,465,7915,6927,127163,399,606,7114,6122
E07000083,Tewkesbury,82269,359,124,4831,4331,83006,400,198,5002,4625,84323,350,160,5482,4445,85798,422,238,5847,4753,86868,407,216,5646,4910,88518,401,229,5801,4571,90332,367,239,6830,5215,92599,369,207,7045,5194,95019,341,285,7506,5281,96624,310,162,6127,4704
E07000114,Thanet,134402,738,592,5212,4450,135687,745,500,5943,4966,136792,692,407,5669,4878,138526,793,335,6249,4955,139822,748,325,5970,4976,140828,744,298,5702,5057,141337,680,366,5656,5237,141819,664,411,5718,5338,141922,595,395,5602,5513,141458,555,408,4747,4887
E07000102,Three Rivers,87921,331,354,4991,4794,88804,298,466,5796,5043,89566,282,315,5605,5057,90525,337,178,6004,5592,91797,395,210,6288,5448,92676,415,273,5721,5352,92641,365,223,5914,6273,93045,396,245,6296,6201,93323,347,268,6262,6226,93966,318,326,5898,5434
E06000034,Thurrock,158268,807,451,5979,5905,159837,635,479,6545,6408,161305,714,444,6426,6464,163822,940,372,7345,6612,166040,1211,356,7219,7080,168428,1386,535,7298,7082,170394,1109,571,8898,8650,172525,1192,786,9219,8691,174341,1099,739,9471,9280,175531,1035,665,7822,7952
E07000115,Tonbridge and Malling,121087,453,508,6653,5896,122030,415,398,7225,6813,123171,393,361,7149,6540,124583,463,248,7830,7143,125779,489,279,7624,7034,127305,486,241,7750,6834,128891,437,294,7941,6949,130508,449,308,8146,7077,132153,397,342,8479,7226,132571,389,384,6787,6673
E06000027,Torbay,131193,448,423,5966,5623,131480,381,325,6287,5834,132201,403,221,6215,5409,133264,479,223,6882,5832,133791,490,249,6510,5881,134406,485,293,6358,5509,135247,457,257,7485,6324,135780,534,207,7091,6315,136264,476,317,7231,6435,136218,475,247,5857,5429
W06000020,Torfaen / Tor-faen,91190,66,89,2234,2272,91346,94,106,2537,2443,91362,84,67,2370,2412,91549,93,70,2458,2461,91767,103,82,2595,2393,91994,117,51,2532,2449,92264,96,70,2856,2597,93049,112,71,3260,2442,93961,96,67,3270,2398,94832,81,62,3061,2072
E07000046,Torridge,63973,157,82,3321,2758,64769,164,74,3777,3021,65127,153,91,3553,3144,65657,176,82,3899,3364,66312,210,114,4093,3293,67022,165,92,4038,3241,67821,166,82,4424,3488,68143,220,75,4255,3766,68267,190,108,4084,3734,68719,199,73,3817,3170
E09000030,Tower Hamlets,256012,10345,5307,20870,20891,263624,10609,4970,21047,22715,273616,12017,4901,21205,22137,284596,13117,4789,23142,24017,293828,12905,4368,22524,25322,300943,11847,5217,22197,25228,307964,11434,5906,25786,27794,317705,13476,5054,26929,29052,324745,12568,7064,29575,31378,331969,13655,6775,26042,28836
E08000009,Trafford,227091,1040,1147,9791,9631,228308,880,976,10242,9986,230146,866,882,10773,9749,232319,1061,875,10635,9686,232975,1149,882,10407,10621,234210,1166,912,10438,10435,235493,1061,954,12087,11652,236370,1028,761,12003,11971,237354,955,466,12680,12870,237579,899,618,10721,10952
E07000116,Tunbridge Wells,115246,588,683,6303,6038,115796,563,581,6590,6486,116094,607,509,6128,6223,116525,761,417,6496,6736,116610,761,442,6371,6686,117357,753,382,6758,6546,118061,695,472,7038,6726,118054,686,609,6821,7003,118724,637,557,7516,7042,118939,600,985,6721,6110
E07000077,Uttlesford,80032,293,166,4924,3939,81199,250,276,4946,4022,82680,261,188,5061,3989,84066,315,137,5407,4441,85205,353,175,5218,4513,86289,361,225,5317,4494,87684,323,194,6123,4970,89179,318,217,6198,5033,91284,323,234,6493,4729,92759,274,199,5416,4168
W06000014,Vale of Glamorgan / Bro Morgannwg,126679,206,316,4463,4480,126998,252,292,4841,4733,127436,243,149,5064,4774,128009,284,190,4931,4575,127980,307,220,4801,4893,128891,310,150,5139,4468,130690,270,210,5772,4194,132165,530,240,5946,4685,133587,415,205,5935,4692,135295,409,148,5506,3888
E07000180,Vale of White Horse,121891,853,324,7147,6984,122710,620,557,7168,7226,123497,653,548,7314,6786,124621,895,432,7655,7226,126534,921,401,8024,7039,128653,927,419,8258,7071,131227,860,484,9795,8070,133732,916,621,9931,8036,136007,912,664,10048,8368,137910,905,812,8876,7462
E08000036,Wakefield,326433,1320,347,8167,8503,327890,1238,491,8962,9222,329847,1279,596,9349,9009,331720,1384,617,9592,9552,334017,1564,529,10048,9287,337094,1575,616,10432,9146,340790,1360,695,12569,10241,345038,1326,642,13382,10385,348312,1136,716,13845,11407,351592,1203,485,12451,9982
E08000030,Walsall,269524,1021,497,8644,8792,270844,784,464,9136,9501,271955,763,541,9226,9576,273933,909,486,10151,9910,275880,1170,514,9926,9581,278887,1668,471,10305,9566,281293,1250,392,12554,12132,283378,1303,594,12630,12180,285478,1296,545,12961,12668,286716,1272,421,10664,10901
E09000031,Waltham Forest,259742,6779,2489,13280,16750,262456,6083,2922,14353,18232,265650,5832,2164,14644,18484,267801,7652,2645,15068,21120,270671,8018,2486,15272,21059,274222,7691,2625,15167,20050,275505,7140,3172,17433,23363,276700,5754,2539,18665,23850,276983,5450,3322,19547,24532,276940,4947,3917,17136,20973
E09000032,Wandsworth,307710,6605,5897,29894,30155,309497,5964,6374,30401,31868,313091,6202,4712,29762,31386,316536,7005,5431,31074,33217,319477,6618,4781,31237,33744,321497,6445,5186,30996,33670,323257,6148,6230,35594,37169,326474,6180,4298,36602,38220,329677,5818,5395,39363,39761,329735,5776,5136,33241,36271
E06000007,Warrington,202709,939,652,6575,5930,203795,812,557,6944,6800,205165,933,738,6962,6301,206681,1012,680,7195,6699,207781,919,629,7127,6650,208973,1083,704,7077,6807,209704,964,1021,8051,7492,209547,1055,885,7633,8118,210014,926,568,8430,8515,209397,796,786,7152,7473
E07000222,Warwick,137736,1071,1210,7577,8319,138423,821,973,8388,8086,138208,849,835,7521,8118,138725,1495,1096,7971,8270,138893,1194,1094,7637,7941,139488,1474,988,7749,7883,140282,1317,820,9672,9629,142484,1286,1068,11412,9856,143753,1231,1083,11507,10720,144909,1181,807,10393,9706
E07000103,Watford,90653,902,899,5943,5344,91940,703,822,6213,5624,93905,723,600,6905,5843,95553,1076,605,6760,6442,96348,1181,553,6368,6932,96577,1294,817,6162,7237,96675,1096,729,6737,7686,96767,1104,842,6810,7680,96577,958,851,7028,7990,96623,869,622,6247,6978
E07000216,Waverley,121754,745,576,7927,7307,122081,595,543,7744,7803,122783,598,532,7718,7300,123359,709,454,8056,7839,124011,785,435,7817,7528,124593,808,413,7908,7862,125010,723,503,8723,8568,125610,966,481,8717,8564,126328,864,565,9065,8688,126556,881,769,8427,8022
E07000065,Wealden,149415,520,385,8142,6726,151050,626,318,8784,7141,152777,447,284,8610,6745,155005,525,234,9324,7148,156790,561,251,8999,7164,158054,557,225,8546,7276,158941,497,269,8733,7588,160175,627,285,9096,7619,161475,521,267,9315,7873,162733,528,386,8698,6890
E07000241,Welwyn Hatfield,110727,1993,479,7738,7736,111661,1804,1251,8838,8999,113375,1958,914,8106,7918,115341,2077,515,8619,8669,117784,2125,817,9266,8482,121007,2104,579,9693,8464,122274,1832,1161,10423,10292,122746,2180,1266,9874,10633,123043,2199,1151,9640,10772,123893,2488,1188,8711,9324
E06000037,West Berkshire,154148,668,1238,7403,7532,154704,658,607,7971,8224,156031,597,529,8056,7556,156633,757,466,8150,8518,157460,885,501,8124,8194,158576,868,463,8242,8144,158473,777,583,8218,8973,158527,836,749,8230,8773,158450,770,742,8421,8923,158465,734,878,7285,7365
E07000047,West Devon,53655,163,125,3363,2688,53886,166,92,3301,3127,53982,138,98,3072,2888,54343,186,83,3462,3116,54502,188,73,3289,3095,54742,202,113,3308,2973,55329,195,109,3815,3178,55528,268,68,3680,3391,55796,217,110,3667,3239,56139,205,83,3261,2720
S12000039,West Dunbartonshire,90610,160,149,1925,2109,90340,112,170,2031,2253,89800,101,198,2069,2396,89710,116,147,2140,2207,89590,121,154,2430,2318,89860,194,108,2362,2160,89610,135,110,2193,2314,89130,100,160,2300,2450,88930,110,110,2290,2340,88340,130,170,1840,2020
E07000127,West Lancashire,110617,492,179,4421,4663,110911,442,236,5051,5055,111216,416,261,5209,5091,111845,492,274,5694,5267,112482,468,274,5812,5374,113061,509,264,6027,5468,113881,495,368,7152,6254,113949,575,284,6794,6704,114306,459,198,7233,7000,114496,448,202,6851,6493
E07000142,West Lindsey,89352,206,130,4395,4334,90074,198,111,5151,4574,90791,175,111,5283,4618,91882,202,59,5684,4808,92958,216,88,5574,4578,93903,208,81,5536,4717,94340,187,67,6142,5730,94869,181,127,6154,5504,95667,172,80,6303,5406,96186,159,49,5382,4707
S12000040,West Lothian,175300,871,326,3946,4272,176010,743,482,4163,4270,176160,500,518,4087,4456,177200,561,498,4672,4291,178550,561,365,5163,4469,180130,657,283,5005,4252,181310,523,315,4804,4226,182140,560,340,4720,4370,183100,640,310,4980,4590,183820,550,480,4500,3690
E06000062,West Northamptonshire,376008,2927,1765,18328,17978,378848,2592,1801,19442,19332,381646,2819,1635,18498,18806,385495,3661,1367,19489,19674,390404,4390,1649,20267,19896,395461,4735,1614,20277,20143,399368,3870,1673,24391,24396,402145,4783,3287,23726,23802,405050,3995,2401,24799,25018,406733,3830,1383,16584,18126
E07000181,West Oxfordshire,105442,361,276,5190,4669,107164,385,357,5221,4840,107945,366,396,5188,4742,108095,477,263,4986,5011,108609,545,307,5013,5085,108748,584,281,4739,5057,109266,501,336,5819,5496,109800,519,406,5928,5435,110643,473,470,6247,5606,111758,425,442,5924,4573
E07000245,West Suffolk,171481,851,1019,7516,6386,171468,821,987,7518,6980,171679,735,939,7735,6637,174882,874,606,7663,7420,176625,923,753,8318,7482,176687,967,943,8308,7245,179248,864,925,8917,8213,178881,886,1560,8592,8284,179045,801,1376,8908,8288,177302,725,1060,7856,7316
E09000033,Westminster,219582,14716,8982,18879,20897,223737,13416,7940,18129,21331,225306,13550,7402,16646,22984,229899,14459,7432,17127,21127,238047,16626,6735,17911,21184,241974,14590,6785,16564,21932,244796,13477,7497,17413,22071,255324,19459,6779,18632,22153,261317,17752,8873,19193,23466,269848,21282,8958,16251,21008
E08000010,Wigan,318122,959,472,7553,7925,318740,740,381,7688,8277,319810,828,549,7927,7781,321114,850,545,8341,8231,322244,1102,499,7983,8184,323526,1519,579,8252,8398,324650,1170,738,9789,9462,326088,1308,788,10129,9308,328662,1234,449,11304,9784,330712,1074,532,10393,8694
E06000054,Wiltshire,474319,1810,1680,18857,17717,476914,1708,1475,20006,18972,479911,1821,1707,20122,18313,484560,2028,1611,21203,18920,488487,2115,1734,21153,18912,492240,2342,1811,21157,18864,496043,1956,1819,23443,20741,498064,2158,1687,23008,21268,500024,1896,2669,23882,21233,504070,1754,1852,20892,18566
E07000094,Winchester,116820,881,848,8864,8129,118074,758,673,9364,8511,119037,711,574,8569,8003,120290,874,490,8926,8206,121734,770,620,9489,8398,123100,803,507,9295,8574,123879,747,566,10726,10028,124295,894,716,10675,10191,124859,838,733,10984,10622,125925,894,917,10435,9442
E06000040,Windsor and Maidenhead,145098,1168,1106,8470,8057,145742,992,1130,8783,8616,146278,976,871,8567,8737,147476,1136,685,9094,8898,148277,1286,724,8963,9155,149689,1282,692,9160,8832,150140,1139,754,9297,9683,150906,1298,763,9675,9774,151422,1136,821,9629,9628,151273,1039,1021,8519,8805
E08000015,Wirral,319837,771,713,6784,7120,320389,591,546,7722,7676,320670,612,675,7547,7209,321503,693,611,8091,7497,321700,719,513,7654,7504,322216,696,507,7757,7304,322796,753,647,8791,8080,323235,942,719,8825,8174,324011,724,464,9107,8169,324336,687,700,8682,7164
E07000217,Woking,99493,869,855,5560,5448,99779,643,811,5533,5837,100387,638,652,5573,5618,100634,767,557,5573,6117,100976,872,600,5557,6098,101421,953,572,5426,5909,101129,832,590,6181,7148,101167,891,617,6253,7038,100793,857,801,6196,7176,100008,740,855,5284,6222
E06000041,Wokingham,154943,1047,644,9738,9694,156658,853,763,10202,9555,158065,895,663,9905,9399,159414,1202,623,9760,9670,161200,1444,748,10509,9865,163087,1572,673,10306,9788,164980,1222,730,11299,10492,167979,1379,692,12304,10561,171119,1354,806,12607,10634,173945,1400,1020,11483,9367
E08000031,Wolverhampton,249852,2700,1080,8539,9844,251076,1924,1287,9141,10172,251708,2094,1355,9239,10038,253250,2347,1331,9835,10437,255106,3005,1297,9539,10245,258017,3719,983,9611,10338,259926,2813,793,11354,12232,262008,2876,1148,11752,12080,263357,2959,1063,11538,12827,264407,2668,825,10199,11226
E07000237,Worcester,98679,731,783,5090,4935,99622,733,471,5487,5374,100363,663,476,5422,5469,100739,680,533,5647,5898,100985,771,610,5500,5860,101927,869,510,5946,5777,102314,718,477,6829,6990,101891,808,673,6394,7143,101222,726,628,6380,7433,100265,725,517,5299,6539
E07000229,Worthing,104998,520,462,5435,4424,105774,414,407,5797,4935,106413,370,300,5469,4739,107287,466,266,5895,5109,108303,519,266,5984,4981,109246,548,306,5691,4830,109632,473,349,6266,5658,110025,499,451,6356,5708,110570,435,466,6503,5754,110727,418,497,5741,5089
W06000006,Wrexham / Wrecsam,135070,761,330,4047,3792,135498,903,924,3956,4000,135801,678,384,3796,4158,135953,538,556,4034,4148,135418,546,742,3753,4195,135408,624,442,3864,4236,135571,564,712,4100,4312,136126,618,651,4073,4189,135957,676,529,4047,4507,136055,552,433,3631,3717
E07000238,Wychavon,117074,478,263,5151,4863,117777,550,256,5570,5149,118906,627,239,5768,5077,120007,756,312,6231,5424,121709,739,298,6547,5140,123144,824,283,6308,5336,125378,701,264,7779,5936,127340,763,392,7528,5758,129433,650,327,7957,6160,131084,566,257,6553,4898
E07000128,Wyre,107692,321,196,5292,4835,107809,302,160,5662,5170,108167,210,144,6001,5277,108594,261,162,6229,5434,109546,246,115,6270,5051,110002,231,117,6146,5307,110426,269,105,6316,5549,111223,331,98,6259,5048,112091,284,60,6549,5260,113067,311,112,6351,4813
E07000239,Wyre Forest,98048,207,158,3180,3145,98087,147,113,3436,3475,98473,142,118,3456,3132,98999,157,126,3676,3268,99599,197,97,3779,3228,100007,217,109,3601,3318,100715,188,83,4235,3585,101062,206,145,4263,3752,101291,169,108,4224,3892,101139,167,87,3528,3298
E06000014,York,197783,2817,1158,11776,10931,199567,2330,1577,12768,12078,202113,2571,1366,12697,11641,203654,2784,1969,13487,13124,205784,2963,1603,13195,12558,206920,2510,1542,13029,13118,208163,2398,1567,15720,15382,209893,2832,1327,16136,15937,210618,2799,1665,16328,16688,211012,3246,1200,14948,16215
